Artist,Album,playcount,listeners
2Pac,1,11395473,660787
50 Cent,1,11830923,887782
A Tribe Called Quest,2,24179847,1337916
ABBA,1,524878,28461
AC/DC,1,25266423,1512745
Aaliyah,1,2252127,144186
Adele,1,64434877,1931594
Aerosmith,1,1534139,169247
Al Green,3,3856560,507082
Alanis Morissette,1,12079868,947052
Alice Coltrane,1,780468,96693
Alicia Keys,1,7236825,851373
Amy Winehouse,1,44957445,1702293
Anita Baker,1,668405,78185
Arcade Fire,1,49357312,1518009
Arctic Monkeys,1,77932235,1488545
Aretha Franklin,4,4624998,808659
B.B. King,1,674826,70671
Bad Bunny,1,4846705,134193
Beastie Boys,3,20496862,1519560
Beck,1,10330400,839402
Belle and Sebastian,1,10187857,416899
Beyoncé,2,40452634,852763
Big Brother & the Holding Company,1,1889906,281485
Big Star,3,4287005,357791
Bill Withers,2,5030763,709756
Billie Eilish,1,50166100,999226
Billie Holiday,1,1134047,125068
Billy Joel,1,2961609,387867
Björk,2,33105242,1621184
Black Flag,1,7823436,461816
Black Sabbath,3,28909127,2254345
Blondie,2,4456535,341293
Blur,1,11118800,792083
Bo Diddley,1,7304,1116
Bob Dylan,7,53408434,3102997
Bob Dylan And The Band,1,842644,64152
Bob Marley & The Wailers,2,3856721,356788
Bon Iver,1,140602,35334
Bonnie Raitt,1,538633,111393
Boogie Down Productions,1,569016,108054
Boyz II Men,1,1415150,306010
Brian Eno,2,9427050,554012
Brian Wilson,1,2393531,142244
Britney Spears,1,27661134,905190
Bruce Springsteen,5,26637393,1812831
Buddy Holly,1,95889,5617
Buzzcocks,1,4787780,409100
Can,1,2094157,146432
Carole King,1,5496383,517413
Cat Stevens,1,3854785,439314
Charles Mingus,1,2690789,309755
Chic,1,744349,177163
Chuck Berry,1,1688013,253369
Cocteau Twins,1,7442031,323659
Coldplay,1,59377635,2809272
Cream,1,6327390,738235
Creedence Clearwater Revival,2,7716298,809872
"Crosby, Stills & Nash",1,2037130,221091
"Crosby, Stills, Nash & Young",1,4121384,369618
Curtis Mayfield,2,2470148,218164
Cyndi Lauper,1,4871988,797374
D'Angelo,2,8335604,729668
D'Angelo and The Vanguard,1,552852,19333
DEVO,1,3186866,276953
DJ Shadow,1,10619089,683487
Daddy Yankee,1,1200546,199604
Daft Punk,2,106003535,3611582
David Bowie,5,34474935,1677182
De La Soul,2,6607727,538628
Depeche Mode,1,12598463,672950
Derek and the Dominos,1,1786668,242215
Destiny's Child,1,7070774,1032519
Diana Ross,1,1700996,367798
Diana Ross and The Supremes,1,49157,11001
Dire Straits,1,10421042,956944
Dixie Chicks,1,1738829,242514
Dolly Parton,1,267839,40349
Donna Summer,1,1298734,255868
Dr. Dre,1,7404768,512850
"Dr. John, the Night Tripper",1,5417,494
Drake,2,33056118,1055348
Dusty Springfield,1,2407932,372105
Eagles,2,4752185,433919
"Earth, Wind & Fire",1,718503,142500
Elliott Smith,1,25855755,897007
Elton John,2,3233406,347593
Elvis Costello,1,4299826,383687
Elvis Costello & The Attractions,1,1754360,211343
Elvis Presley,3,3376898,422329
Eminem,2,29883535,2093292
Eric B. & Rakim,1,1795296,297506
Eric Church,1,2346725,213161
Erykah Badu,2,13062044,969686
Etta James,1,3138557,411133
Fela Ransome Kuti & Africa 70,1,2838,550
Fiona Apple,3,15422613,1119144
Fleetwood Mac,1,23253982,1121627
Four Tops,1,85952,19828
Frank Ocean,2,117726228,1822410
Frank Sinatra,1,2254545,136056
Fugees,1,8237784,844775
Funkadelic,2,5306374,518328
Gang of Four,1,5961866,432185
Genius/GZA,1,9976,918
George Harrison,1,4140191,273754
George Michael,1,3621032,554861
Ghostface Killah,1,3441384,232145
Gillian Welch,1,968648,74331
Grateful Dead,2,5808866,440648
Green Day,2,70950232,3701429
Guns N' Roses,1,31831200,1992668
Hank Williams,1,909463,66621
Harry Nilsson,1,1781830,236642
Harry Styles,1,43201752,815189
Herbie Hancock,1,2116769,381408
Hole,1,9461572,552914
Howlin' Wolf,1,752838,93704
Hüsker Dü,1,2348921,170465
Ice Cube,1,1782895,160448
Ike & Tina Turner,1,176732,52590
Isaac Hayes,1,485027,108818
J Dilla,1,20497707,410265
JAY-Z,3,23772540,2117449
James Brown,3,1164207,168048
James Taylor,1,1532303,200930
Janet Jackson,3,7876122,688940
Janis Joplin,1,3463392,496407
Jason Isbell,1,1818938,96813
Jeff Buckley,1,20366284,1106053
Jefferson Airplane,1,12218511,1089705
Jerry Lee Lewis,1,10798,526
John Coltrane,2,4896522,408376
John Lennon,2,10632626,933073
John Mayer,1,27855869,1376865
John Prine,1,1325701,135583
Johnny Cash,1,5224563,326577
Joni Mitchell,4,14052562,892314
Joy Division,2,40185239,1631718
Juvenile,1,633794,110802
KISS,1,486277,38944
Kacey Musgraves,1,14371043,316718
Kanye West,6,246993956,8312851
Kate Bush,1,12892442,649839
Kelis,1,1109660,188240
Kendrick Lamar,3,101595345,2530651
Kid Cudi,1,27216056,1152385
King Sunny Adé,1,1574,115
Kraftwerk,1,420273,25692
LCD Soundsystem,1,18109537,1016741
LL Cool J,1,827356,167635
Lady Gaga,1,40876327,751109
Lana Del Rey,1,38553529,556819
Laura Nyro,1,550442,60700
Lauryn Hill,1,9425879,781231
Led Zeppelin,5,54350633,3102902
Leonard Cohen,1,5551080,491640
Lil Wayne,2,2071994,216404
Linda Ronstadt,1,432981,75574
Little Richard,1,273828,20468
Liz Phair,1,3080730,250730
Lorde,1,46495400,731901
Loretta Lynn,1,108457,24732
Los Lobos,1,142824,18399
Lou Reed,1,14307355,1117390
Love,1,3748784,201709
Lucinda Williams,2,1970709,212037
Luther Vandross,1,822087,168158
Lynyrd Skynyrd,1,276102,24486
M.I.A.,1,8712199,422192
MC5,1,956499,99657
Madonna,3,22559427,1546232
Madvillain,1,36529130,796326
Manu Chao,1,10843635,607608
Mariah Carey,1,8715277,661087
Marvin Gaye,3,7564900,832214
Mary J. Blige,2,2509171,438652
Massive Attack,2,45849883,2312626
Maxwell,1,1344666,150800
Merle Haggard,1,45161,1663
Metallica,2,55790299,2410727
Michael Jackson,3,31174649,2743581
Miles Davis,2,10124200,847930
Minutemen,1,8348686,304902
Miranda Lambert,1,649476,42983
Missy Elliott,1,1314677,192724
Mobb Deep,1,8895434,618362
Motörhead,1,7224346,519135
Muddy Waters,1,126166,9593
My Bloody Valentine,1,32172088,891229
My Chemical Romance,1,54113185,1739304
N.W.A,1,3904459,489654
Nas,1,16484781,901761
Neil Young,4,18858338,1310905
Neil Young & Crazy Horse,2,1734055,138234
Neutral Milk Hotel,1,46300281,1180145
New Order,1,5015512,395322
New York Dolls,1,2224184,267760
Nick Drake,1,20915860,963634
Nina Simone,1,972915,103682
Nine Inch Nails,2,33642906,1656303
Nirvana,3,101854382,5332200
Oasis,2,44689290,3044098
Ornette Coleman,1,962708,113420
Otis Redding,2,916929,98204
OutKast,3,23543299,1960817
PJ Harvey,2,16222922,1076995
Parliament,1,1678403,248575
Patsy Cline,1,49476,2662
Patti Smith,1,3938666,347997
Paul Simon,2,8671229,883509
Paul & Linda McCartney,1,675696,23254
Pavement,3,13509524,649348
Pearl Jam,1,34102474,1808072
Pet Shop Boys,1,2127817,199510
Peter Gabriel,1,2797532,304000
Phil Spector,1,5594,184
Pink Floyd,4,110193232,3698041
Pixies,2,48348116,2183712
Portishead,1,32385297,1436871
Pretenders,1,74359,17174
Primal Scream,1,5236129,505942
Prince,3,6018486,596744
Prince & The Revolution,1,1917080,253312
Public Enemy,2,6847886,695508
Pulp,1,11691460,765183
Queen,1,9655213,666897
R.E.M.,2,15496412,1144333
ROSALÍA,1,8946177,209848
Radiohead,4,278667419,7999396
Raekwon,1,3891626,382655
Rage Against the Machine,1,25701134,1708122
Ramones,2,10623293,827756
Randy Newman,1,519940,43714
Ray Charles,2,405796,37169
Red Hot Chili Peppers,2,66334301,3465247
Richard & Linda Thompson,1,482184,63238
Rihanna,1,13089252,510877
Robert Johnson,1,1742686,302751
Roberta Flack,1,526665,111042
Robyn,1,10763579,423897
Rod Stewart,1,1839989,423881
Roxy Music,2,4350221,434203
Rufus,1,48142,8903
Run-D.M.C.,2,1455822,214771
Rush,1,5597203,441428
SZA,1,34371238,634217
Sade,2,5780859,454258
Sam Cooke,2,2329115,127872
Santana,1,2299253,243243
Selena,1,1264920,106451
Sex Pistols,1,3888743,230553
Shakira,1,2963520,141120
Shania Twain,1,4961946,649977
Sheryl Crow,1,2372957,376937
Simon & Garfunkel,1,9552335,888175
Sinéad O'Connor,1,2492949,425649
Sleater-Kinney,1,1784607,74023
Sly & the Family Stone,3,3664859,554324
Smashing Pumpkins,1,72970,6108
Smokey Robinson and The Miracles,1,68482,11254
Snoop Dogg,1,9234952,814904
Solange,1,9522103,315770
Sonic Youth,2,17264375,1117693
Sparks,1,1527378,144443
Steely Dan,2,9519576,798865
Stevie Wonder,4,14749792,1705615
Suicide,1,1498468,144646
T. Rex,1,4487406,447908
TLC,1,4734602,733491
Talking Heads,2,8354878,516393
Tame Impala,1,44461601,1064795
Taylor Swift,2,48131278,1241722
Television,1,6135865,478575
The Allman Brothers Band,1,795156,90841
The B-52's,1,1959979,250983
The Band,2,5452972,537921
The Beach Boys,3,14040728,582841
The Beatles,9,174278919,5767190
The Breeders,1,6346083,517620
The Byrds,2,3207548,401339
The Cars,1,3344492,360310
The Clash,3,34714428,1801484
The Cure,1,15993237,687854
The Doors,1,22283844,1151481
The Flying Burrito Brothers,1,958729,122136
The Go-Go's,1,938008,155068
The Isley Brothers,1,1061,495
The Jimi Hendrix Experience,3,16145686,1488754
The Kinks,2,4559609,422333
The Magnetic Fields,1,11720732,316382
The Meters,1,327836,35475
The Modern Lovers,1,3704311,285288
The Notorious B.I.G.,2,14916227,1565115
The Pharcyde,1,4609584,478724
The Police,1,3529110,383905
The Raincoats,1,1262215,123200
The Replacements,1,3352652,186862
The Rolling Stones,6,41996293,3986768
The Ronettes,1,402661,56750
The Roots,1,5152271,375144
The Slits,1,1405373,141335
The Smiths,1,31559610,1158383
The Stone Roses,1,13606543,855304
The Stooges,2,7303703,761880
The Strokes,1,51862287,2117740
The Temptations,1,200043,35339
The Velvet Underground,4,29475697,1851555
The Wailers,1,162166,24837
The Weeknd,1,27638729,1010354
The White Stripes,1,36006248,1873238
The Who,4,18543498,1428103
The Zombies,1,4799730,383968
Todd Rundgren,1,1396506,145461
Tom Petty,2,8462668,926530
Tom Petty and the Heartbreakers,1,623589,65177
Tom Waits,1,14865928,650223
Toots & The Maytals,1,186280,34687
Tori Amos,1,5603246,373634
Tracy Chapman,1,8383207,725295
U2,2,20368465,1696011
Usher,1,5942926,949497
Vampire Weekend,1,21775370,628762
Van Halen,1,4350049,321138
Van Morrison,2,9837169,965744
Various Artists,4,188471,33245
Weezer,1,3139080,146734
Whitney Houston,1,2526772,389800
Wilco,1,16582338,756444
Willie Nelson,1,1032530,108197
Wire,1,7263146,257468
Wu-Tang Clan,1,11393693,703014
X,1,1440688,141955
X-Ray Spex,1,818621,79127
Yeah Yeah Yeahs,1,21356774,1203932
Yes,1,1423860,124573
Yo La Tengo,1,9633027,456724
