Rank,Artist,Album,Total,EAS
1,Ed Sheeran,÷ (Deluxe),11134771433,11116841
2,Post Malone,beerbongs & bentleys,9389163476,9374044
3,Dua Lipa,Dua Lipa (Complete Edition),8738048733,8723978
4,Post Malone,Hollywood's Bleeding,8625381124,8611492
5,Ed Sheeran,x (Wembley Edition),8396308102,8382787
6,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",7944978137,7932184
7,Justin Bieber,Purpose (Deluxe),7865652829,7852987
8,Drake,Scorpion,7680500566,7668133
9,XXXTENTACION,?,7162062695,7150530
10,Drake,Views,7129366134,7117886
11,Post Malone,Stoney (Deluxe),6965715821,6954499
12,Dua Lipa,Future Nostalgia (The Moonlight Edition),6945219678,6934036
13,The Weeknd,Starboy,6419485732,6409148
14,The Weeknd,Beauty Behind The Madness,5947732502,5938155
15,Travis Scott,ASTROWORLD,5917328176,5907799
16,The Weeknd,After Hours (Deluxe),5829256146,5819869
17,Juice WRLD,Goodbye & Good Riddance,5814968570,5805605
18,Billie Eilish,dont smile at me (Expanded Edition),5807477671,5798126
19,Shawn Mendes,Shawn Mendes (Deluxe),5665636296,5656513
20,Ariana Grande,"thank u, next",5663149864,5654030
21,XXXTENTACION,17,5352637216,5344018
22,Imagine Dragons,Evolve,5308423018,5299875
23,Lewis Capaldi,Divinely Uninspired To A Hellish Extent (Extended Edition),5285190294,5276680
24,Twenty One Pilots,Blurryface,5139382947,5131107
25,Sam Smith,In The Lonely Hour (Deluxe),5114269747,5106034
26,Bad Bunny,YHLQMDLG,5110369387,5102140
27,Kendrick Lamar,DAMN.,5101152550,5092938
28,Harry Styles,Fine Line,5089595811,5081400
29,Drake,More Life,4991856644,4983818
30,Olivia Rodrigo,SOUR,4945632343,4937668
31,Shawn Mendes,Illuminate (Deluxe),4799954860,4792225
32,Khalid,American Teen (Japan Version),4783112296,4775410
33,Ariana Grande,Dangerous Woman,4724837895,4717229
34,Ed Sheeran,No.6 Collaborations Project,4717892492,4710295
35,Imagine Dragons,Night Visions (Deluxe),4676240189,4668710
36,Pop Smoke,Shoot For The Stars Aim For The Moon (Deluxe),4652183127,4644692
37,Maroon 5,Red Pill Blues (Deluxe),4628561687,4621108
38,Ariana Grande,My Everything (Deluxe),4558580094,4551239
39,Lin-Manuel Miranda,Hamilton (Original Broadway Cast Recording),4541761461,4534448
40,Rihanna,ANTI (Deluxe),4450579476,4443413
41,Anne-Marie,Speak Your Mind (Deluxe),4424439936,4417315
42,The Chainsmokers,Collage EP,4393176554,4386102
43,Bruno Mars,Doo-Wops & Hooligans,4315263192,4308314
44,Luis Fonsi,VIDA,4264656313,4257789
45,Charlie Puth,Nine Track Mind (Special Edition),4238387658,4231563
46,Zara Larsson,So Good,4185623270,4178883
47,Adele,25,4166155000,4159446
48,Clean Bandit,What Is Love? (Deluxe Edition),4137161526,4130499
49,Arctic Monkeys,AM,4099995491,4093393
50,Jonas Blue,Blue,4091461522,4084873
51,Alan Walker,Different World,4005820961,3999370
52,Maroon 5,V (Deluxe),3974040546,3967641
53,Lil Uzi Vert,Luv Is Rage 2 (Deluxe),3971848589,3965453
54,Juice WRLD,Legends Never Die,3930488923,3924160
55,Lady Gaga,A Star Is Born Soundtrack,3924707840,3918388
56,Adele,21,3883444928,3877191
57,Sam Smith,Love Goes,3874448662,3868210
58,Sia,This Is Acting (Deluxe Version),3858437221,3852224
59,Various Artists,The Greatest Showman (Original Motion Picture Soundtrack),3745313944,3739283
60,Bruno Mars,24K Magic,3744403753,3738374
61,Ariana Grande,Sweetener,3719343022,3713354
62,Cardi B,Invasion of Privacy,3691079411,3685136
63,Hozier,Hozier (Special Edition),3685524931,3679590
64,Bad Bunny,X 100PRE,3651213346,3645334
65,Justin Bieber,Justice (The Complete Edition),3617153667,3611329
66,The Kid LAROI,F*CK LOVE 3+: OVER YOU,3581621221,3575854
67,Taylor Swift,Lover,3556089192,3550363
68,Lana Del Rey,Born To Die – Paradise Edition (Special Version),3547751201,3542038
69,Shawn Mendes,Handwritten (Deluxe),3543827853,3538121
70,Camila Cabello,Romance,3537425223,3531729
71,Travis Scott,Birds In The Trap Sing McKnight,3507808610,3502160
72,Khalid,Free Spirit,3496977972,3491347
73,BTS,MAP OF THE SOUL : 7,3486022675,3480409
74,Eminem,The Eminem Show,3479098937,3473497
75,Katy Perry,Katy Perry - Teenage Dream: The Complete Confection,3479060075,3473458
76,The Chainsmokers,Memories...Do Not Open,3434830817,3429300
77,One Direction,Made In The A.M. (Deluxe Edition),3397125491,3391655
78,J. Cole,2014 Forest Hills Drive,3382896168,3377449
79,Halsey,Manic,3336436226,3331064
80,Major Lazer,Peace Is The Mission (Extended),3315952138,3310612
81,Various Artists,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),3279922299,3274641
82,Taylor Swift,reputation (Big Machine Radio Release Special),3279299841,3274019
83,Lady Gaga,The Fame Monster (France Virgin Version),3268448823,3263186
84,Camila Cabello,Camila,3265934879,3260676
85,Juice WRLD,Death Race For Love,3238116700,3232902
86,Bruno Mars,Unorthodox Jukebox (Deluxe Edition),3235199282,3229990
87,Kygo,Cloud Nine,3176419805,3171305
88,Kanye West,The Life Of Pablo,3175767612,3170654
89,Bad Bunny,EL ÚLTIMO TOUR DEL MUNDO,3171980088,3166872
90,Drake,Take Care (Deluxe),3166703560,3161604
91,Tones And I,Welcome To The Madhouse (Deluxe),3155714116,3150632
92,David Guetta,Nothing but the Beat (Ultimate Edition),3120197567,3115173
93,Taylor Swift,1989 (Deluxe),3119827651,3114804
94,Calvin Harris,Motion,3107947613,3102943
95,Ava Max,Heaven & Hell,3104819828,3099820
96,Macklemore,The Heist (Deluxe Edition),3074365143,3069414
97,James Arthur,Back from the Edge,3069757382,3064814
98,Ed Sheeran,+,3057688293,3052764
99,Kendrick Lamar,Black Panther The Album Music From And Inspired By,3012764968,3007913
100,Nirvana,Nevermind (Super Deluxe Edition),2998492152,2993664
101,Kendrick Lamar,"good kid, m.A.A.d city (Deluxe)",2996913609,2992088
102,Lil Nas X,7 EP,2994164422,2989343
103,Linkin Park,Hybrid Theory (20th Anniversary Edition),2990125656,2985311
104,Drake,Nothing Was The Same (Deluxe),2935945719,2931218
105,David Guetta,7,2919563411,2914862
106,Various Artists,Fifty Shades Of Grey (Original Motion Picture Soundtrack),2915072400,2910378
107,Ozuna,Odisea,2909738992,2905053
108,Maroon 5,Overexposed Track By Track,2905099594,2900421
109,Lauv,I met you when I was 18. (the playlist),2903909571,2899233
110,Eminem,Recovery (Deluxe Edition),2902451738,2897778
111,Paulo Londra,Homerun,2888411876,2883761
112,Fleetwood Mac,Rumours (Super Deluxe),2886309517,2881662
113,Avicii,True (Bonus Edition),2880574840,2875936
114,Ellie Goulding,Delirium (Deluxe),2871256201,2866633
115,Eminem,The Marshall Mathers LP2 (Deluxe),2869205015,2864585
116,Ariana Grande,Positions (Deluxe),2858499030,2853896
117,Calvin Harris,18 Months,2855901026,2851302
118,Avicii,Stories,2852010918,2847418
119,David Guetta,Listen Again,2841449573,2836874
120,KAROL G,KG0516,2834902846,2830338
121,Lorde,Pure Heroine (Extended),2813529851,2808999
122,Melanie Martinez,Cry Baby (Deluxe Edition),2777809745,2773337
123,Rita Ora,Phoenix (Deluxe Edition),2765442027,2760989
124,benny blanco,FRIENDS KEEP SECRETS 2,2757743089,2753302
125,Guns N' Roses,Appetite For Destruction,2747915415,2743490
126,Anuel AA,Emmanuel,2718876224,2714498
127,Rihanna,Good Girl Gone Bad,2706006764,2701649
