Artist,Number,Album,Rating,playcount,listeners
Marvin Gaye,1,3,4.32,0,0
The Beach Boys,2,3,4.15,0,0
Joni Mitchell,3,4,4.36,0,0
Stevie Wonder,4,4,4.78,0,0
The Beatles,5,9,4.4,604642148,4259832
Nirvana,6,3,4.28,266339278,4837764
Fleetwood Mac,7,1,4.6,0,0
Prince & The Revolution,8,1,4.25,0,0
Bob Dylan,9,7,4.31,0,0
Lauryn Hill,10,1,4.15,0,0
Michael Jackson,12,3,4.28,155869216,4108252
Aretha Franklin,13,4,3.2,0,0
The Rolling Stones,14,6,4.3,0,0
Public Enemy,15,2,3.68,0,0
The Clash,16,3,4.03,0,0
Kanye West,17,6,4.08,467861027,5194039
Kendrick Lamar,19,3,4.43,182648119,2161216
Radiohead,20,4,4.51,586828415,5267125
Bruce Springsteen,21,5,4.49,0,0
The Notorious B.I.G.,22,2,4.03,0,0
The Velvet Underground,23,4,3.22,0,0
Carole King,25,1,4.15,0,0
Patti Smith,26,1,4.3,0,0
Wu-Tang Clan,27,1,4.65,0,0
D'Angelo,28,2,4.0,0,0
The Jimi Hendrix Experience,30,3,3.92,0,0
Miles Davis,31,2,4.72,0,0
Beyoncé,32,2,4.05,212074222,4163285
Amy Winehouse,33,1,4.1,0,0
Dr. Dre,37,1,4.1,0,0
Talking Heads,39,2,4.38,0,0
David Bowie,40,5,4.2,0,0
A Tribe Called Quest,43,2,4.07,0,0
Nas,44,1,4.15,0,0
Prince,45,3,4.08,0,0
Paul Simon,46,2,2.3,0,0
Ramones,47,2,4.18,0,0
Bob Marley & The Wailers,48,2,4.53,0,0
OutKast,49,3,3.82,0,0
JAY-Z,50,3,3.67,0,0
Chuck Berry,51,1,0.0,0,0
James Brown,54,3,4.62,0,0
Pink Floyd,55,4,4.45,0,0
Liz Phair,56,1,4.25,0,0
The Band,57,2,4.18,0,0
Led Zeppelin,58,5,4.52,0,0
Van Morrison,60,2,4.5,0,0
Eric B. & Rakim,61,1,3.5,0,0
Guns N' Roses,62,1,4.45,0,0
Steely Dan,63,2,4.35,0,0
John Coltrane,66,2,4.58,0,0
Kate Bush,68,1,3.85,0,0
Alanis Morissette,69,1,4.15,0,0
N.W.A,70,1,4.0,0,0
Neil Young,72,4,4.38,0,0
My Bloody Valentine,73,1,4.55,0,0
Curtis Mayfield,76,2,4.62,0,0
The Who,77,4,4.4,0,0
Elvis Presley,78,3,4.23,0,0
Frank Ocean,79,2,4.4,190363956,1883700
Sex Pistols,80,1,4.7,0,0
Sly & the Family Stone,82,3,4.05,0,0
Dusty Springfield,83,1,4.0,0,0
AC/DC,84,1,4.45,0,0
John Lennon,85,2,4.0,0,0
The Doors,86,1,4.55,0,0
Erykah Badu,89,2,4.0,0,0
Missy Elliott,93,1,3.65,0,0
The Stooges,94,2,4.28,0,0
Drake,95,2,3.08,254002673,4139698
R.E.M.,96,2,4.1,0,0
Metallica,97,2,4.43,0,0
Lucinda Williams,98,2,4.58,0,0
Taylor Swift,99,2,4.35,542908088,3015159
De La Soul,103,2,3.95,0,0
The Allman Brothers Band,105,1,4.5,0,0
Hole,106,1,4.55,0,0
Television,107,1,4.35,0,0
Fiona Apple,108,3,4.15,0,0
