,name,playcount,listeners
0,Kanye West,465644917,5188490
1,The Weeknd,211180150,2233916
2,Doja Cat,95666679,1124126
3,Billie Eilish,143092328,1434385
4,Coldplay,426043460,6079329
5,Drake,253064018,4134685
6,Lil Nas X,45499397,1104082
7,Taylor Swift,539134180,3009196
8,Adele,153353764,3426494
9,Ariana Grande,288187641,1901438
10,"Tyler, the Creator",171912155,1491844
11,Kendrick Lamar,182048997,2156635
12,Lana Del Rey,368452747,2544074
13,Rihanna,249587572,5284079
14,Olivia Rodrigo,74225131,835717
15,Arctic Monkeys,407426283,4147639
16,Frank Ocean,189512961,1879187
17,Lady Gaga,406772066,4530099
18,Dua Lipa,112290310,1324699
19,Ed Sheeran,125523151,2288584
20,Travis Scott,54886020,776503
21,Lorde,143971658,1887369
22,Radiohead,585846557,5262677
23,Post Malone,91366405,1332044
24,Gorillaz,221756686,4183547
25,Tame Impala,130351282,1764389
26,The Beatles,604157233,4256056
27,Eminem,257639949,5177908
28,The Neighbourhood,75905675,1435967
29,Bruno Mars,79399933,2543044
30,Katy Perry,206259657,4390739
31,Mac Miller,107671710,1619992
32,Queen,235993503,4663489
33,Justin Bieber,97923045,2324479
34,Harry Styles,74936363,1061404
35,Nirvana,266004482,4833744
36,Childish Gambino,89610450,1531617
37,Miley Cyrus,122606735,2695543
38,Elton John,70587613,3049051
39,A$AP Rocky,86141549,1454958
40,Paramore,227167270,3031441
41,The Kid LAROI,29159529,609976
42,J. Cole,81163804,2103596
43,Beyoncé,211830643,4159951
44,Britney Spears,243784083,3843430
45,Michael Jackson,155696380,4104671
46,Mitski,65283050,675425
47,Playboi Carti,103036480,622042
48,Clairo,38604599,786045
49,Kali Uchis,47518839,816084
