Rank,Artist,Album,Millions,Number,Year,Type,Rating,Gen,playcount,listeners
1,Eagles,Their Greatest Hits (1971-1975),38,0,0,unknown,0.0,none,0,0
2,Michael Jackson,Thriller,34,12,1982,Album,4.4,pop,13968793,1303329
3,Eagles,Hotel California,26,118,1976,Album,4.45,rock,3430062,315984
4,AC/DC,Back In Black,25,0,0,unknown,0.0,none,0,0
5,The Beatles,The Beatles,24,0,0,unknown,0.0,none,0,0
6,Billy Joel,Greatest Hits Volume 1 & Volume 2,23,0,0,unknown,0.0,none,0,0
7,Led Zeppelin,Led Zeppelin IV,23,0,0,unknown,0.0,none,0,0
8,Pink Floyd,The Wall,23,129,1979,Album,4.4,rock,34141642,888973
9,Garth Brooks,Double Live,21,0,0,unknown,0.0,none,0,0
10,Hootie & The Blowfish,Cracked Rear View,21,0,0,unknown,0.0,none,0,0
11,Fleetwood Mac,Rumours,20,7,1977,Album,4.6,pop,23190380,1118797
12,Shania Twain,Come On Over,20,300,1997,Album,4.0,country,4945745,648335
13,Garth Brooks,No Fences,18,0,0,unknown,0.0,none,0,0
14,Guns N' Roses,Appetite for Destruction,18,62,1987,Album,4.45,rock,31758142,1988473
15,Whitney Houston,The Bodyguard (Soundtrack),18,0,0,unknown,0.0,none,0,0
16,Boston,Boston,17,0,0,unknown,0.0,none,0,0
17,Elton John,Greatest Hits,17,0,0,unknown,0.0,none,0,0
18,The Beatles,The Beatles 1967-1970,17,0,0,unknown,0.0,none,0,0
19,Alanis Morisette,Jagged Little Pill,16,0,0,unknown,0.0,none,0,0
21,Led Zeppelin,Physical Graffiti,16,144,1975,Album,4.25,rock,10339600,550740
22,Metallica,Metallica,16,235,1991,Album,4.2,metal,32929579,1442311
24,Bruce Springsteen,Born In The U.S.A.,15,0,0,unknown,0.0,none,0,0
20,Bee Gees,Saturday Night Fever (Soundtrack),15,0,0,unknown,0.0,none,0,0
23,Bob Marley & The Wailers,Legend,15,0,0,unknown,0.0,none,0,0
25,Journey,Greatest Hits,15,0,0,unknown,0.0,none,0,0
27,Santana,Supernatural,15,0,0,unknown,0.0,none,0,0
28,The Beatles,The Beatles 1962-1966,15,0,0,unknown,0.0,none,0,0
26,Pink Floyd,Dark Side of the Moon,15,0,0,unknown,0.0,none,0,0
35,Steve Miller Band,Greatest Hits 1974-1978,14,0,0,unknown,0.0,none,0,0
29,Adele,21,14,137,2011,Album,4.1,pop,64132817,1920803
30,Backstreet Boys,Backstreet Boys,14,0,0,unknown,0.0,none,0,0
31,Britney Spears,...Baby One More Time,14,0,0,unknown,0.0,none,0,0
32,Garth Brooks,Ropin' The Wind,14,0,0,unknown,0.0,none,0,0
33,Meat Loaf,Bat Out of Hell,14,0,0,unknown,0.0,none,0,0
34,Simon & Garfunkel,Simon & Garfunkel's Greatest Hits,14,0,0,unknown,0.0,none,0,0
39,Pearl Jam,Ten,13,160,1991,Album,4.15,grunge,34025401,1804999
42,Whitney Houston,Whitney Houston,13,249,1985,Album,4.65,r&b,2514939,388523
41,The Chicks,Wide Open Spaces,13,0,0,unknown,0.0,none,0,0
40,Prince & The Revolution,Purple Rain,13,8,1984,Album + Soundtrack,4.25,rock,1916523,253275
37,Bruce Springsteen,Bruce Springsteen & E Street Band Live 1975-'85,13,0,0,unknown,0.0,none,0,0
38,Carole King,Tapestry,13,25,1971,Album,4.15,pop,5474216,515962
36,Backstreet Boys,Millennium,13,0,0,unknown,0.0,none,0,0
46,Def Leppard,Hysteria,12,0,0,unknown,0.0,none,0,0
48,Kenny G,Breathless,12,0,0,unknown,0.0,none,0,0
47,Jewel,Pieces of You,12,0,0,unknown,0.0,none,0,0
49,Kenny Rogers,Kenny Rogers' Greatest Hits,12,0,0,unknown,0.0,none,0,0
45,Celine Dion,Falling Into You,12,0,0,unknown,0.0,none,0,0
44,Boyz II Men,II,12,495,1994,Album,2.5,pop,1410881,305516
43,Bon Jovi,Slippery When Wet,12,0,0,unknown,0.0,none,0,0
50,Led Zeppelin,Led Zeppelin II,12,123,1969,Album,4.55,rock,17795603,993048
