,album,certified units,Rank,Millions,Artist,Title
0,"50. Led Zeppelin — ""Led Zeppelin II""",Certified units: 12 million,50,12,Led Zeppelin ,Led Zeppelin II
1,"49. Kenny Rogers — ""Kenny Rogers' Greatest Hits""",Certified units: 12 million,49,12,Kenny Rogers ,Kenny Rogers' Greatest Hits
2,"48. Kenny G — ""Breathless""",Certified units: 12 million,48,12,Kenny G ,Breathless
3,"47. Jewel — ""Pieces of You""",Certified units: 12 million,47,12,Jewel ,Pieces of You
4,"46. Def Leppard — ""Hysteria""",Certified units: 12 million,46,12,Def Leppard ,Hysteria
5,"45. Celine Dion — ""Falling Into You""",Certified units: 12 million,45,12,Celine Dion ,Falling Into You
6,"44. Boyz II Men — ""II""",Certified units: 12 million,44,12,Boyz II Men ,II
7,"43. Bon Jovi — ""Slippery When Wet""",Certified units: 12 million,43,12,Bon Jovi ,Slippery When Wet
8,"42. Whitney Houston — ""Whitney Houston""",Certified units: 13 million,42,13,Whitney Houston ,Whitney Houston
9,"41. The Chicks — ""Wide Open Spaces""",Certified units: 13 million,41,13,The Chicks ,Wide Open Spaces
10,"40. Prince & The Revolution — ""Purple Rain""",Certified units: 13 million,40,13,Prince & The Revolution ,Purple Rain
11,"39. Pearl Jam — ""Ten""",Certified units: 13 million,39,13,Pearl Jam ,Ten
12,"38. Carole King — ""Tapestry""",Certified units: 13 million,38,13,Carole King ,Tapestry
13,"37. Bruce Springsteen — ""Bruce Springsteen & E Street Band Live 1975-'85""",Certified units: 13 million,37,13,Bruce Springsteen ,Bruce Springsteen & E Street Band Live 1975-'85
14,"36. Backstreet Boys — ""Millennium""",Certified units: 13 million,36,13,Backstreet Boys ,Millennium
15,"35. Steve Miller Band — ""Greatest Hits 1974-1978""",Certified units: 14 million,35,14,Steve Miller Band ,Greatest Hits 1974-1978
16,"34. Simon & Garfunkel — ""Simon & Garfunkel's Greatest Hits""",Certified units: 14 million,34,14,Simon & Garfunkel ,Simon & Garfunkel's Greatest Hits
17,"33. Meat Loaf — ""Bat Out of Hell""",Certified units: 14 million,33,14,Meat Loaf ,Bat Out of Hell
18,"32. Garth Brooks — ""Ropin' The Wind""",Certified units: 14 million,32,14,Garth Brooks ,Ropin' The Wind
19,"31. Britney Spears — ""...Baby One More Time""",Certified units: 14 million,31,14,Britney Spears ,...Baby One More Time
20,"30. Backstreet Boys — ""Backstreet Boys""",Certified units: 14 million,30,14,Backstreet Boys ,Backstreet Boys
21,"29. Adele — ""21""",Certified units: 14 million,29,14,Adele ,21
