,Rank,Artist,Title,playcount,listeners
0,50,Led Zeppelin ,Led Zeppelin II,17793537,993000
1,49,Kenny Rogers ,Kenny Rogers' Greatest Hits,930,134
2,48,Kenny G ,Breathless,660053,76382
3,47,Jewel ,Pieces of You,2934308,391891
4,46,Def Leppard ,Hysteria,5771895,643621
5,45,Celine Dion ,Falling Into You,9810,1102
6,44,Boyz II Men ,II,1409092,305314
7,43,Bon Jovi ,Slippery When Wet,7069566,693487
8,42,Whitney Houston ,Whitney Houston,2509908,388007
9,41,The Chicks ,Wide Open Spaces,195159,28938
10,40,Prince & The Revolution ,Purple Rain,5669020,556535
11,39,Pearl Jam ,Ten,33993449,1803739
12,38,Carole King ,Tapestry,5464163,515348
13,37,Bruce Springsteen ,Bruce Springsteen & E Street Band Live 1975-'85,38109,3705
14,36,Backstreet Boys ,Millennium,5812892,720218
15,35,Steve Miller Band ,Greatest Hits 1974-1978,324108,22134
16,34,Simon & Garfunkel ,Simon & Garfunkel's Greatest Hits,1450,62
17,33,Meat Loaf ,Bat Out of Hell,3005793,358152
18,32,Garth Brooks ,Ropin' The Wind,197397,24215
19,31,Britney Spears ,...Baby One More Time,5053151,264526
20,30,Backstreet Boys ,Backstreet Boys,3516583,458040
21,29,Adele ,21,64017127,1916988
22,28,The Beatles ,The Beatles 1962-1966,92253,3066
23,27,Santana ,Supernatural,3241269,359504
24,26,Pink Floyd ,Dark Side of the Moon,45439069,1392333
25,25,Journey ,Greatest Hits,7448773,761827
26,24,Bruce Springsteen ,Born In The U.S.A.,12441473,797212
27,23,Bob Marley & The Wailers ,Legend,5858261,251367
28,22,Metallica ,Metallica,32895695,1440912
29,21,Led Zeppelin ,Physical Graffiti,10338066,550700
30,20,Bee Gees ,Saturday Night Fever (Soundtrack),3793,463
31,19,Alanis Morisette ,Jagged Little Pill,325,79
32,18,The Beatles ,The Beatles 1967-1970,312610,11394
33,17,Elton John ,Greatest Hits,4351158,754314
34,16,Boston ,Boston,9399621,1056373
35,15,Whitney Houston ,The Bodyguard (Soundtrack),23049,3437
36,14,Guns N' Roses ,Appetite for Destruction,31728598,1986764
37,13,Garth Brooks ,No Fences,277614,34530
38,12,Shania Twain ,Come On Over,4938807,647615
39,11,Fleetwood Mac ,Rumours,23163312,1117622
40,10,Hootie & The Blowfish ,Cracked Rear View,187,29
41,9,Garth Brooks ,Double Live,162766,8588
42,8,Pink Floyd ,The Wall,34093965,887557
43,7,Led Zeppelin ,Led Zeppelin IV,17256644,1069915
44,6,Billy Joel ,Greatest Hits Volume 1 & Volume 2,27932,2043
45,5,The Beatles ,The Beatles (The White Album),4558789,327346
46,4,AC/DC ,Back In Black,25185393,1507204
47,3,Eagles ,Hotel California,3428933,315898
48,2,Michael Jackson ,Thriller,13951474,1302253
49,1,Eagles ,Their Greatest Hits (1971-1975),226748,20277
