,Rank,Artist,Album,Total,Daily
0,1,Ed Sheeran,÷ (Deluxe),11127100157,4051251
1,2,Post Malone,beerbongs & bentleys,9384072978,2632777
2,3,Dua Lipa,Dua Lipa (Complete Edition),8732775214,3017227
3,4,Post Malone,Hollywood's Bleeding,8617566505,4071637
4,5,Ed Sheeran,x (Wembley Edition),8391502029,2462857
5,6,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",7938693846,3150380
6,7,Justin Bieber,Purpose (Deluxe),7861882367,1997308
7,8,Drake,Scorpion,7676737550,2022180
8,9,XXXTENTACION,?,7154898893,3765126
9,10,Drake,Views,7126032831,1782510
10,11,Post Malone,Stoney (Deluxe),6961555269,2098732
11,12,Dua Lipa,Future Nostalgia (The Moonlight Edition),6930797575,8103827
12,13,The Weeknd,Starboy,6413697948,2983275
13,14,The Weeknd,Beauty Behind The Madness,5942862941,2519524
14,15,Travis Scott,ASTROWORLD,5910827374,3314018
15,16,The Weeknd,After Hours (Deluxe),5820526789,4676234
16,17,Juice WRLD,Goodbye & Good Riddance,5808686521,3233168
17,18,Billie Eilish,dont smile at me (Expanded Edition),5800933011,3169457
18,19,Shawn Mendes,Shawn Mendes (Deluxe),5661818198,1992259
19,20,Ariana Grande,"thank u, next",5658704280,2308360
20,21,XXXTENTACION,17,5346841340,2886537
21,22,Imagine Dragons,Evolve,5304023229,2341175
22,23,Lewis Capaldi,Divinely Uninspired To A Hellish Extent (Extended Edition),5278514500,3308308
23,24,Twenty One Pilots,Blurryface,5135811968,1860231
24,25,Sam Smith,In The Lonely Hour (Deluxe),5109419244,2465459
25,26,Bad Bunny,YHLQMDLG,5102195906,4549571
26,27,Kendrick Lamar,DAMN.,5097683292,1779089
27,28,Harry Styles,Fine Line,5080356697,4672792
28,29,Drake,More Life,4988999766,1464278
29,30,Olivia Rodrigo,SOUR,4924647819,10890454
30,31,Shawn Mendes,Illuminate (Deluxe),4796802867,1614300
31,32,Khalid,American Teen (Japan Version),4780215831,1437321
32,33,Ariana Grande,Dangerous Woman,4721659288,1631763
33,34,Ed Sheeran,No.6 Collaborations Project,4714320315,1930795
34,35,Imagine Dragons,Night Visions (Deluxe),4672839376,1760154
35,36,Pop Smoke,Shoot For The Stars Aim For The Moon (Deluxe),4644229972,4264421
36,37,Maroon 5,Red Pill Blues (Deluxe),4626230658,1253727
37,38,Ariana Grande,My Everything (Deluxe),4555675297,1523010
38,39,Lin-Manuel Miranda,Hamilton (Original Broadway Cast Recording),4537626394,2125956
39,40,Rihanna,ANTI (Deluxe),4447373199,1705393
40,41,Anne-Marie,Speak Your Mind (Deluxe),4421848427,1379994
41,42,The Chainsmokers,Collage EP,4390878338,1225480
42,43,Bruno Mars,Doo-Wops & Hooligans,4308959895,3265581
43,44,Luis Fonsi,VIDA,4262942446,1005738
44,45,Charlie Puth,Nine Track Mind (Special Edition),4235621775,1433866
45,46,Zara Larsson,So Good,4183617613,1050183
46,47,Adele,25,4156869229,4669645
47,48,Clean Bandit,What Is Love? (Deluxe Edition),4135068387,1124588
48,49,Arctic Monkeys,AM,4094683540,2630448
49,50,Jonas Blue,Blue,4089599259,1006259
50,51,Alan Walker,Different World,4003070575,1455027
51,52,Maroon 5,V (Deluxe),3970489544,1884213
52,53,Lil Uzi Vert,Luv Is Rage 2 (Deluxe),3967752065,2094016
53,54,Juice WRLD,Legends Never Die,3923733369,3483406
54,55,Lady Gaga,A Star Is Born Soundtrack,3921197766,1895116
55,56,Adele,21,3875916570,3909981
56,57,Sam Smith,Love Goes,3870748507,1943214
57,58,Sia,This Is Acting (Deluxe Version),3855228922,1691120
58,59,Various Artists,The Greatest Showman (Original Motion Picture Soundtrack),3742407316,1524920
59,60,Bruno Mars,24K Magic,3741729389,1425488
60,61,Ariana Grande,Sweetener,3716506622,1446937
61,62,Cardi B,Invasion of Privacy,3689225538,1034810
62,63,Hozier,Hozier (Special Edition),3681639208,1905284
63,64,Bad Bunny,X 100PRE,3647325359,2118406
64,65,Justin Bieber,Justice (The Complete Edition),3602597405,7653787
65,66,The Kid LAROI,F*CK LOVE 3+: OVER YOU,3564150616,9558775
66,67,Taylor Swift,Lover,3550677606,2635322
67,68,Lana Del Rey,Born To Die – Paradise Edition (Special Version),3544282146,1709189
68,69,Camila Cabello,Romance,3534633059,1503087
69,70,Travis Scott,Birds In The Trap Sing McKnight,3504473134,1720935
70,71,Khalid,Free Spirit,3494454788,1276015
71,72,BTS,MAP OF THE SOUL : 7,3479719179,2880694
72,73,Eminem,The Eminem Show,3475058472,2161647
73,74,Katy Perry,Katy Perry - Teenage Dream: The Complete Confection,3474427120,2487999
74,75,Shawn Mendes,Handwritten (Deluxe),3471198487,-69444955
75,76,The Chainsmokers,Memories...Do Not Open,3432817382,1067459
76,77,One Direction,Made In The A.M. (Deluxe Edition),3394118179,1507806
77,78,J. Cole,2014 Forest Hills Drive,3379622086,1655577
78,79,Halsey,Manic,3333266829,1615003
79,80,Major Lazer,Peace Is The Mission (Extended),3314742434,677796
80,81,Various Artists,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),3276896685,1597006
81,82,Taylor Swift,reputation (Big Machine Radio Release Special),3275087007,2087351
82,83,Lady Gaga,The Fame Monster (France Virgin Version),3264599220,2175490
83,84,Camila Cabello,Camila,3264344052,845585
84,85,Juice WRLD,Death Race For Love,3233842072,2154940
85,86,Bruno Mars,Unorthodox Jukebox (Deluxe Edition),3231635152,1856310
86,87,Kygo,Cloud Nine,3175057071,715699
87,88,Kanye West,The Life Of Pablo,3173174164,1316466
88,89,Drake,Take Care (Deluxe),3164518824,1130599
89,90,Bad Bunny,EL ÚLTIMO TOUR DEL MUNDO,3163789018,4542272
