Artist,playcount,listeners
Kanye West,474725454,5207487
Taylor Swift,567875689,3046663
The Weeknd,214047282,2254021
Doja Cat,98855993,1144631
Billie Eilish,145887234,1452435
Drake,256341150,4151329
Coldplay,430303065,6098162
Bruno Mars,83867924,2591025
Ariana Grande,291541293,1919547
Lil Nas X,47002930,1121726
Adele,157187423,3461005
"Tyler, the Creator",175628702,1508407
Lana Del Rey,373136683,2559480
Kendrick Lamar,184146388,2171970
Rihanna,250692598,5299725
Post Malone,92801951,1353806
Arctic Monkeys,409243861,4164380
Olivia Rodrigo,75880576,851790
Travis Scott,57557532,795061
Frank Ocean,192364263,1893799
Ed Sheeran,126939460,2306288
Radiohead,588690568,5276888
Lady Gaga,408377104,4544474
Lorde,145800449,1900551
Dua Lipa,113373551,1337639
Gorillaz,222969009,4198297
Katy Perry,207191620,4408864
The Neighbourhood,77324190,1453010
Tame Impala,131342405,1777936
Eminem,258856113,5192761
The Beatles,605849946,4268457
Harry Styles,76155294,1077008
Justin Bieber,99039319,2340654
Queen,236805650,4677255
Mac Miller,109896494,1632919
Nirvana,267199621,4847223
Childish Gambino,90561655,1545600
A$AP Rocky,87654427,1467495
Miley Cyrus,123378576,2708150
Elton John,71160253,3066542
Playboi Carti,107711196,637500
Beyoncé,212788510,4172757
Paramore,228058996,3044658
Britney Spears,244763371,3856774
Mitski,68373128,692514
J. Cole,82401648,2116190
Imagine Dragons,111965294,2195556
Joji,67228461,861193
Kid Cudi,122186847,3040012
Michael Jackson,156282901,4117304
