Rank,Artist,Album,Millions
1,Eagles,Their Greatest Hits (1971-1975),38
2,Michael Jackson,Thriller,34
3,Eagles,Hotel California,26
4,AC/DC,Back In Black,25
5,The Beatles,The Beatles,24
6,Billy Joel,Greatest Hits Volume 1 & Volume 2,23
7,Led Zeppelin,Led Zeppelin IV,23
8,Pink Floyd,The Wall,23
9,Garth Brooks,Double Live,21
10,Hootie & The Blowfish,Cracked Rear View,21
11,Fleetwood Mac,Rumours,20
12,Shania Twain,Come On Over,20
13,Garth Brooks,No Fences,18
14,Guns N' Roses,Appetite for Destruction,18
15,Whitney Houston,The Bodyguard (Soundtrack),18
16,Boston,Boston,17
17,Elton John,Greatest Hits,17
18,The Beatles,The Beatles 1967-1970,17
19,Alanis Morisette,Jagged Little Pill,16
21,Led Zeppelin,Physical Graffiti,16
22,Metallica,Metallica,16
24,Bruce Springsteen,Born In The U.S.A.,15
20,Bee Gees,Saturday Night Fever (Soundtrack),15
23,Bob Marley & The Wailers,Legend,15
25,Journey,Greatest Hits,15
27,Santana,Supernatural,15
28,The Beatles,The Beatles 1962-1966,15
26,Pink Floyd,Dark Side of the Moon,15
35,Steve Miller Band,Greatest Hits 1974-1978,14
29,Adele,21,14
30,Backstreet Boys,Backstreet Boys,14
31,Britney Spears,...Baby One More Time,14
32,Garth Brooks,Ropin' The Wind,14
33,Meat Loaf,Bat Out of Hell,14
34,Simon & Garfunkel,Simon & Garfunkel's Greatest Hits,14
39,Pearl Jam,Ten,13
42,Whitney Houston,Whitney Houston,13
41,The Chicks,Wide Open Spaces,13
40,Prince & The Revolution,Purple Rain,13
37,Bruce Springsteen,Bruce Springsteen & E Street Band Live 1975-'85,13
38,Carole King,Tapestry,13
36,Backstreet Boys,Millennium,13
46,Def Leppard,Hysteria,12
48,Kenny G,Breathless,12
47,Jewel,Pieces of You,12
49,Kenny Rogers,Kenny Rogers' Greatest Hits,12
45,Celine Dion,Falling Into You,12
44,Boyz II Men,II,12
43,Bon Jovi,Slippery When Wet,12
50,Led Zeppelin,Led Zeppelin II,12
